City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,high level,58.5169,-117.136,12.31,79,75,5.75,CA,1675648093
1,daru,-9.0763,143.2092,77.38,91,100,6.02,PG,1675648095
2,beaver dam,43.4578,-88.8373,26.22,77,0,0.0,US,1675648096
3,port alfred,-33.5906,26.891,73.18,94,85,9.15,ZA,1675648098
4,pontianak,-0.0333,109.3333,80.58,88,40,5.75,ID,1675648099
5,lagoa,39.05,-27.9833,58.53,85,100,10.33,PT,1675647946
6,ambovombe,-25.1667,46.0833,72.41,86,100,14.12,MG,1675648102
7,busselton,-33.65,115.3333,75.99,55,0,12.35,AU,1675648104
8,kapaa,22.0752,-159.319,79.12,81,100,9.22,US,1675648105
9,punta arenas,-53.15,-70.9167,50.11,71,75,21.85,CL,1675647828
10,mount gambier,-37.8333,140.7667,69.33,50,13,7.14,AU,1675648108
11,itoman,26.1247,127.6694,69.82,90,75,13.8,JP,1675648109
12,jamestown,42.097,-79.2353,42.03,76,100,11.5,US,1675648111
13,nome,64.5011,-165.4064,17.67,73,100,5.75,US,1675648112
14,chuy,-33.6971,-53.4616,65.28,82,0,3.13,UY,1675648114
15,bambanglipuro,-7.95,110.2833,80.8,76,98,0.6,ID,1675648115
16,vila velha,-20.3297,-40.2925,80.55,83,0,12.66,BR,1675648117
17,george,-33.963,22.4617,67.55,100,75,3.44,ZA,1675648118
18,minsk,53.9,27.5667,20.95,96,100,5.32,BY,1675648060
19,yellowknife,62.456,-114.3525,-3.44,77,100,11.5,CA,1675647940
20,wanaka,-44.7,169.15,75.11,42,97,7.0,NZ,1675648123
21,takaungu,-3.6837,39.8566,75.11,84,29,3.4,KE,1675648125
22,maragogi,-9.0122,-35.2225,78.15,85,10,5.59,BR,1675648126
23,mataura,-46.1927,168.8643,66.56,57,98,11.48,NZ,1675647951
24,sawakin,19.1059,37.3321,71.33,75,48,3.11,SD,1675648129
25,baiyin,36.5583,104.2081,30.49,31,13,2.37,CN,1675648130
26,vila franca do campo,37.7167,-25.4333,59.41,81,88,8.1,PT,1675648132
27,bethel,41.3712,-73.414,41.38,69,0,0.0,US,1675648041
28,mahebourg,-20.4081,57.7,78.26,88,40,3.44,MU,1675648135
29,portland,45.5234,-122.6762,49.6,87,100,5.99,US,1675648081
30,vaini,-21.2,-175.2,82.56,74,40,6.91,TO,1675648137
31,armidale,-30.5167,151.65,83.25,30,0,7.85,AU,1675648139
32,molepolole,-24.4066,25.4951,70.07,58,67,2.44,BW,1675648140
33,baruun-urt,46.6806,113.2792,2.59,84,17,4.76,MN,1675648142
34,rikitea,-23.1203,-134.9692,78.78,76,3,15.28,PF,1675648053
35,nouadhibou,20.931,-17.0347,60.78,55,1,17.27,MR,1675648144
36,baicheng,45.6167,122.8167,13.37,63,38,5.35,CN,1675648146
37,cape town,-33.9258,18.4232,71.91,77,0,13.0,ZA,1675648147
38,bilibino,68.0546,166.4372,-31.61,100,100,1.34,RU,1675648149
