City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khatanga,71.9667,102.5,10.22,93,100,14.09,RU,1676335766
1,rikitea,-23.1203,-134.9692,79.45,68,100,5.77,PF,1676335767
2,ahuimanu,21.4447,-157.8378,80.31,69,20,17.27,US,1676335768
3,cabo san lucas,22.8909,-109.9124,70.9,59,40,16.11,MX,1676335509
4,punta arenas,-53.15,-70.9167,48.31,66,40,16.11,CL,1676335770
5,east london,-33.0153,27.9116,72.21,91,2,10.98,ZA,1676335771
6,yulara,-25.2406,130.9889,93.58,19,29,12.06,AU,1676335772
7,constitucion,-35.3333,-72.4167,58.23,75,0,17.07,CL,1676335557
8,sinnamary,5.3833,-52.95,75.96,95,100,10.71,GF,1676335775
9,busselton,-33.65,115.3333,70.2,56,0,10.85,AU,1676335776
10,norman wells,65.282,-126.8329,-11.16,77,100,17.27,CA,1676335777
11,atuona,-9.8,-139.0333,79.72,76,8,19.01,PF,1676335778
12,salalah,17.0151,54.0924,68.09,77,0,4.61,OM,1676335779
13,yellowknife,62.456,-114.3525,-13.45,76,75,9.22,CA,1676335780
14,hasaki,35.7333,140.8333,41.29,50,100,19.77,JP,1676335781
15,hobart,-42.8794,147.3294,70.27,51,20,10.36,AU,1676335489
16,aiken,33.5835,-81.5998,57.11,50,0,6.91,US,1676335784
17,tambacounda,13.7539,-13.7586,86.05,28,0,23.02,SN,1676335785
18,kodiak,57.79,-152.4072,24.31,50,0,3.44,US,1676335785
19,chokurdakh,70.6333,147.9167,-35.68,99,95,3.87,RU,1676335786
20,new norfolk,-42.7826,147.0587,69.93,38,12,2.17,AU,1676335788
21,ribeira grande,38.5167,-28.7,54.77,73,100,7.0,PT,1676335788
22,vila franca do campo,37.7167,-25.4333,52.21,56,1,15.93,PT,1676335789
23,yashkul,46.1711,45.3435,23.32,87,100,14.05,RU,1676335790
24,haverfordwest,51.8017,-4.9691,42.06,94,1,1.01,GB,1676335791
25,namatanai,-3.6667,152.4333,84.65,67,100,3.15,PG,1676335792
26,ushuaia,-54.8,-68.3,40.66,87,100,10.36,AR,1676335793
27,thompson,55.7435,-97.8558,15.96,86,100,11.5,CA,1676335794
28,kautokeino,69.0125,23.0412,26.78,96,100,15.68,NO,1676335795
29,hilo,19.7297,-155.09,76.95,80,20,11.5,US,1676335795
30,hammerfest,70.6634,23.6821,34.25,69,40,6.91,NO,1676335796
31,colares,38.7992,-9.4469,55.76,67,89,8.99,PT,1676335797
32,ormara,25.2088,64.6357,70.43,59,0,9.8,PK,1676335798
33,mareeba,-17.0,145.4333,79.52,83,100,2.71,AU,1676335799
34,avarua,-21.2078,-159.775,84.25,74,20,8.05,CK,1676335800
35,champerico,14.3,-91.9167,86.54,75,0,8.48,GT,1676335801
36,saldanha,-33.0117,17.9442,64.45,98,36,8.46,ZA,1676335803
37,portland,45.5234,-122.6762,42.62,90,100,7.0,US,1676335259
38,janauba,-15.8025,-43.3089,73.8,65,1,5.97,BR,1676335630
39,black river,18.0264,-77.8487,76.23,74,58,3.04,JM,1676335806
40,kidodi,-7.6036,37.0044,70.36,97,47,3.22,TZ,1676335807
41,alice springs,-23.7,133.8833,90.95,40,0,19.57,AU,1676335808
42,jalu,29.0331,21.5482,53.15,56,85,6.17,LY,1676335809
43,port alfred,-33.5906,26.891,72.18,97,12,3.0,ZA,1676335810
44,puerto ayora,-0.7393,-90.3518,79.56,90,26,1.99,EC,1676335554
45,albany,42.6001,-73.9662,43.74,59,100,5.93,US,1676335662
46,killybegs,54.6333,-8.45,44.2,84,13,15.64,IE,1676335814
47,grindavik,63.8424,-22.4338,42.75,87,75,23.02,IS,1676335810
48,opuwo,-18.0607,13.84,71.44,43,83,3.38,NA,1676335816
49,tautira,-17.7333,-149.15,80.98,78,21,13.85,PF,1676335817
50,maumere,-8.6199,122.2111,79.5,79,100,3.31,ID,1676335818
51,barrow,71.2906,-156.7887,-14.78,84,75,4.61,US,1676335819
52,solnechnyy,50.7214,136.6319,-0.81,81,98,9.73,RU,1676335820
53,puerto escondido,15.85,-97.0667,76.71,86,21,4.99,MX,1676335821
54,bethel,41.3712,-73.414,49.8,53,40,0.0,US,1676335822
55,severnoye,56.3491,78.3619,-12.35,100,99,5.77,RU,1676335728
56,comodoro rivadavia,-45.8667,-67.5,60.66,21,0,32.21,AR,1676335824
57,vaini,-21.2,-175.2,80.76,94,100,8.05,TO,1676335825
58,makakilo city,21.3469,-158.0858,79.12,59,40,17.27,US,1676335826
59,pahrump,36.2083,-115.9839,60.85,21,100,8.99,US,1676335828
60,bluff,-46.6,168.3333,64.76,64,7,8.43,NZ,1676335829
